d a t a,c l o s e
2 0 2 4 - 0 5 - 1 3,4 0 3 6
2 0 2 4 - 0 5 - 1 4,4 0 4 2 8
2 0 2 4 - 0 5 - 1 5,4 0 7 4 9
2 0 2 4 - 0 5 - 1 6,4 0 7 0 7
2 0 2 4 - 0 5 - 2 1,4 0 7
2 0 2 4 - 0 5 - 2 3,4 0 5 3 4
2 0 2 4 - 0 5 - 2 8,4 0 4 2 4
2 0 2 4 - 0 5 - 2 9,4 0 2 1 6
2 0 2 4 - 0 5 - 3 0,4 0 3 7 5
2 0 2 4 - 0 5 - 3 1,4 0 4 6 8
2 0 2 4 - 0 6 - 0 3,4 0 7 1 2
2 0 2 4 - 0 6 - 0 4,4 0 9 7 2
2 0 2 4 - 0 6 - 0 5,4 1 0 8 4
2 0 2 4 - 0 6 - 0 6,4 1 0 7 4
2 0 2 4 - 0 6 - 0 7,4 0 7 7 2
2 0 2 4 - 0 6 - 1 0,4 0 7 0 5
2 0 2 4 - 0 6 - 1 1,4 0 8 4 6
2 0 2 4 - 0 6 - 1 4,4 1 2 5 8
2 0 2 4 - 0 6 - 1 8,4 1 2 6 3
2 0 2 4 - 0 6 - 2 1,4 1 1 5 4
2 0 2 4 - 0 6 - 2 7,4 1 0 8 4
2 0 2 4 - 0 6 - 2 8,4 0 8 9 1
2 0 2 4 - 0 7 - 0 1,4 0 6 4 6
2 0 2 4 - 0 7 - 0 2,4 0 8 4
2 0 2 4 - 0 7 - 0 5,4 1 2 7
2 0 2 4 - 0 7 - 0 8,4 1 3 1 6
2 0 2 4 - 0 7 - 0 9,4 1 2 3
2 0 2 4 - 0 7 - 1 0,4 1 2 9 4
2 0 2 4 - 0 7 - 1 2,4 1 5 4 2
2 0 2 4 - 0 7 - 1 5,4 1 4 4 3
2 0 2 4 - 0 7 - 1 9,4 1 4 2 3
2 0 2 4 - 0 7 - 2 3,4 1 4 1 1
2 0 2 4 - 0 7 - 2 9,4 1 5 8 8
