d a t a,c l o s e
2 0 2 4 - 0 6 - 0 3,2 4 8 6
2 0 2 4 - 0 6 - 0 4,2 4 9 3 5
2 0 2 4 - 0 6 - 0 5,2 5 0 8 2
2 0 2 4 - 0 6 - 0 6,2 5 2 5
2 0 2 4 - 0 6 - 0 7,2 5 2 5 4
2 0 2 4 - 0 6 - 1 0,2 5 2 3
2 0 2 4 - 0 6 - 1 1,2 5 2 3 5
2 0 2 4 - 0 6 - 1 2,2 5 4 7 7
2 0 2 4 - 0 6 - 1 3,2 5 4 8 5
2 0 2 4 - 0 6 - 1 4,2 5 4 4
2 0 2 4 - 0 6 - 1 7,2 5 5 4
2 0 2 4 - 0 6 - 1 8,2 5 7 4
2 0 2 4 - 0 6 - 2 0,2 5 6 8 6
2 0 2 4 - 0 6 - 2 1,2 5 6 8
2 0 2 4 - 0 6 - 2 4,2 5 6
2 0 2 4 - 0 6 - 2 5,2 5 6 4 6
2 0 2 4 - 0 6 - 2 6,2 5 6 5
2 0 2 4 - 0 6 - 2 7,2 5 7 2
2 0 2 4 - 0 6 - 2 8,2 5 7
2 0 2 4 - 0 7 - 0 1,2 5 6 8 7
2 0 2 4 - 0 7 - 0 2,2 5 7 3
2 0 2 4 - 0 7 - 0 3,2 5 8 8
2 0 2 4 - 0 7 - 0 5,2 5 9 4
2 0 2 4 - 0 7 - 0 8,2 6 0 5
2 0 2 4 - 0 7 - 0 9,2 6 0 8
2 0 2 4 - 0 7 - 1 0,2 6 2 2
2 0 2 4 - 0 7 - 1 1,2 6 1 3
2 0 2 4 - 0 7 - 1 2,2 6 2 6 1
2 0 2 4 - 0 7 - 1 5,2 6 3 1 7
2 0 2 4 - 0 7 - 1 6,2 6 3 9 7
2 0 2 4 - 0 7 - 1 7,2 6 1 8
2 0 2 4 - 0 7 - 1 8,2 6 0
2 0 2 4 - 0 7 - 1 9,2 5 8 4 3
2 0 2 4 - 0 7 - 2 2,2 6 0 1 4
2 0 2 4 - 0 7 - 2 3,2 6 0 2 7
2 0 2 4 - 0 7 - 2 4,2 5 5 6 6
2 0 2 4 - 0 7 - 2 5,2 5 5 0 7
2 0 2 4 - 0 7 - 2 6,2 5 6 7 6
2 0 2 4 - 0 7 - 2 9,2 5 7 1 8
2 0 2 4 - 0 7 - 3 0,2 5 6 1
2 0 2 4 - 0 7 - 3 1,2 5 9 3
2 0 2 4 - 0 8 - 0 1,2 5 5 4
