d a t a,c l o s e
2 0 2 4 - 0 6 - 2 6,2 5 0 5 5
2 0 2 4 - 0 6 - 2 7,2 5 0 5 6
2 0 2 4 - 0 6 - 2 8,2 5 0 2 3
2 0 2 4 - 0 7 - 0 1,2 5 1
2 0 2 4 - 0 7 - 0 2,2 5 2 2
2 0 2 4 - 0 7 - 0 3,2 5 4 1 3
2 0 2 4 - 0 7 - 0 5,2 5 5 6 1
2 0 2 4 - 0 7 - 0 8,2 5 5 7 1
2 0 2 4 - 0 7 - 0 9,2 5 5 7 5
2 0 2 4 - 0 7 - 1 0,2 5 6 9
2 0 2 4 - 0 7 - 1 1,2 5 7 2 1
2 0 2 4 - 0 7 - 1 2,2 5 8 8 1
2 0 2 4 - 0 7 - 1 5,2 5 8 4 2
2 0 2 4 - 0 7 - 1 7,2 5 6 9 3
2 0 2 4 - 0 7 - 1 8,2 5 4 7 1
2 0 2 4 - 0 7 - 2 2,2 5 5 4 9
2 0 2 4 - 0 7 - 2 3,2 5 4 5 7
2 0 2 4 - 0 7 - 2 4,2 4 9 4 1
2 0 2 4 - 0 7 - 2 5,2 4 8 2 2
2 0 2 4 - 0 7 - 2 6,2 4 9 5
2 0 2 4 - 0 7 - 2 9,2 5 0 5 9
2 0 2 4 - 0 7 - 3 0,2 4 9 9 2
2 0 2 4 - 0 7 - 3 1,2 5 3 8 1
2 0 2 4 - 0 8 - 0 1,2 4 9 1 3
