d a t a,c l o s e
2 0 2 4 - 0 5 - 0 1,2 4 9 4
2 0 2 4 - 0 5 - 0 2,2 5 0 5 7
2 0 2 4 - 0 5 - 0 3,2 5 2 8 8
2 0 2 4 - 0 5 - 0 6,2 5 3 9
2 0 2 4 - 0 5 - 0 7,2 5 4 6 7
2 0 2 4 - 0 5 - 0 8,2 5 4 3
2 0 2 4 - 0 5 - 1 0,2 5 5 7 4
2 0 2 4 - 0 5 - 1 3,2 5 5 6
2 0 2 4 - 0 5 - 1 4,2 5 5 8 5
2 0 2 4 - 0 5 - 1 5,2 5 7 1 5
2 0 2 4 - 0 5 - 1 6,2 5 7 7 5
2 0 2 4 - 0 5 - 1 7,2 5 8
2 0 2 4 - 0 5 - 2 0,2 5 8 5 1
2 0 2 4 - 0 5 - 2 1,2 5 8 8 4
2 0 2 4 - 0 6 - 0 4,2 5 8 4 8
2 0 2 4 - 0 6 - 1 0,2 6 0 2 8
2 0 2 4 - 0 6 - 1 1,2 6 0 3
2 0 2 4 - 0 6 - 1 3,2 6 2 1 2
2 0 2 4 - 0 6 - 1 4,2 6 2 1 2
2 0 2 4 - 0 6 - 1 8,2 6 3 8
2 0 2 4 - 0 6 - 2 4,2 6 2 8 2
2 0 2 4 - 0 7 - 0 1,2 6 3 2
2 0 2 4 - 0 7 - 0 3,2 6 4 5
2 0 2 4 - 0 7 - 0 5,2 6 5 7 7
2 0 2 4 - 0 7 - 0 9,2 6 5 9 7
2 0 2 4 - 0 7 - 1 0,2 6 6 9 4
2 0 2 4 - 0 7 - 2 4,2 6 2 8 3
2 0 2 4 - 0 7 - 2 9,2 6 4 1 2
