d a t a,c l o s e
2 0 2 1 - 1 1 - 1 5,1 0 0 8
2 0 2 1 - 1 1 - 1 6,1 0 0 7
2 0 2 1 - 1 1 - 1 7,1 0 0 1
2 0 2 1 - 1 1 - 1 8,1 0 0 1
2 0 2 1 - 1 1 - 1 9,1 0 0 2
2 0 2 1 - 1 1 - 2 2,1 0 0 5
2 0 2 1 - 1 1 - 2 3,1 0 0 4
2 0 2 1 - 1 1 - 2 4,1 0 0 5
2 0 2 1 - 1 1 - 2 6,1 0 0 4
2 0 2 1 - 1 1 - 2 9,1 0 0 2
2 0 2 1 - 1 1 - 3 0,1 0 0 3
2 0 2 1 - 1 2 - 0 1,1 0 0 9
2 0 2 1 - 1 2 - 0 2,1 0 0 5
2 0 2 1 - 1 2 - 0 3,1 0 0 6
2 0 2 1 - 1 2 - 0 6,1 0 0 8
2 0 2 1 - 1 2 - 0 7,1 0 0 7
2 0 2 1 - 1 2 - 0 8,1 0 0 4
2 0 2 1 - 1 2 - 0 9,1 0 0 6
2 0 2 1 - 1 2 - 1 0,1 0 0 4
2 0 2 1 - 1 2 - 1 3,1 0 1 2 9
2 0 2 1 - 1 2 - 1 4,1 0 0 4
2 0 2 1 - 1 2 - 1 5,1 0 0 4
2 0 2 1 - 1 2 - 1 6,1 0 0 4
2 0 2 1 - 1 2 - 2 0,1 0 0 5
2 0 2 1 - 1 2 - 2 2,1 0 0 6
2 0 2 1 - 1 2 - 2 3,1 0 0 5 5
2 0 2 1 - 1 2 - 2 7,1 0 0 4
2 0 2 1 - 1 2 - 2 8,1 0 0 7
2 0 2 1 - 1 2 - 2 9,1 0 0 4
2 0 2 1 - 1 2 - 3 0,1 0 0 4
2 0 2 1 - 1 2 - 3 1,1 0 0 7
2 0 2 2 - 0 1 - 0 3,1 0 0 6 5
2 0 2 2 - 0 1 - 0 4,1 0 0 5
2 0 2 2 - 0 1 - 0 5,1 0 0 5
2 0 2 2 - 0 1 - 0 6,1 0 0 6
2 0 2 2 - 0 1 - 0 7,1 0 0 8
2 0 2 2 - 0 1 - 1 0,1 0 0 6
2 0 2 2 - 0 1 - 1 1,1 0 0 6
2 0 2 2 - 0 1 - 1 4,1 0 0 9
2 0 2 2 - 0 1 - 1 9,1 0 0 5
2 0 2 2 - 0 1 - 2 0,1 0 0 4
2 0 2 2 - 0 1 - 2 1,1 0 0 4
2 0 2 2 - 0 1 - 2 4,9 9 9
