d a t a,c l o s e
2 0 2 4 - 0 6 - 2 5,4 9 8 9 3
2 0 2 4 - 0 6 - 2 6,4 9 7 6 4
2 0 2 4 - 0 6 - 2 7,4 9 7 8 4
2 0 2 4 - 0 6 - 2 8,4 9 7 3 7
2 0 2 4 - 0 7 - 0 1,4 9 6 4
2 0 2 4 - 0 7 - 0 2,4 9 7 2 6
2 0 2 4 - 0 7 - 0 3,4 9 8 7 7
2 0 2 4 - 0 7 - 0 5,5 0 0 3 7
2 0 2 4 - 0 7 - 0 9,5 0 0 7 2
2 0 2 4 - 0 7 - 1 0,5 0 1 4 1
2 0 2 4 - 0 7 - 1 1,5 0 3 1 9
2 0 2 4 - 0 7 - 1 6,5 0 3 8
2 0 2 4 - 0 7 - 1 7,5 0 4 1 8
2 0 2 4 - 0 7 - 2 2,5 0 3 4 6
2 0 2 4 - 0 7 - 2 3,5 0 3 7 8
2 0 2 4 - 0 7 - 2 6,5 0 4 7 1
2 0 2 4 - 0 7 - 2 9,5 0 4 8 2
2 0 2 4 - 0 7 - 3 0,5 0 4 5 7
