d a t a,c l o s e
2 0 2 4 - 0 5 - 3 0,7 0 6 0 9
2 0 2 4 - 0 5 - 3 1,6 9 4 3 2
2 0 2 4 - 0 6 - 0 3,6 8 8 3 4
2 0 2 4 - 0 6 - 0 4,6 8 0 6 1
2 0 2 4 - 0 6 - 0 5,6 8 7 7 4
2 0 2 4 - 0 6 - 0 6,6 8 3 3 5
2 0 2 4 - 0 6 - 0 7,6 8 1 4 6
2 0 2 4 - 0 6 - 1 0,6 8 1 7 5
2 0 2 4 - 0 6 - 1 1,6 8 3 0 5
2 0 2 4 - 0 6 - 1 2,6 9 2 6 3
2 0 2 4 - 0 6 - 1 3,6 8 3 3
2 0 2 4 - 0 6 - 1 4,6 7 6 5 7
2 0 2 4 - 0 6 - 1 7,6 7 7 5 7
2 0 2 4 - 0 6 - 1 8,6 8 6 7 4
2 0 2 4 - 0 6 - 2 0,6 9 3 8 8
2 0 2 4 - 0 6 - 2 1,6 8 9 2 3
2 0 2 4 - 0 6 - 2 4,6 9 5
2 0 2 4 - 0 6 - 2 5,6 8 6 8
2 0 2 4 - 0 6 - 2 6,6 8 3 3
2 0 2 4 - 0 6 - 2 7,6 8 3 7 6
2 0 2 4 - 0 6 - 2 8,6 7 9 8
2 0 2 4 - 0 7 - 0 1,6 8 0
2 0 2 4 - 0 7 - 0 2,6 8 3
2 0 2 4 - 0 7 - 0 3,6 9 0 7
2 0 2 4 - 0 7 - 0 5,6 9 2
2 0 2 4 - 0 7 - 0 8,6 9 5 4 9
2 0 2 4 - 0 7 - 0 9,6 9 2 1
2 0 2 4 - 0 7 - 1 0,6 9 2 5
2 0 2 4 - 0 7 - 1 1,6 9 9 8
2 0 2 4 - 0 7 - 1 2,7 0 0 1
2 0 2 4 - 0 7 - 1 5,6 9 7 9
2 0 2 4 - 0 7 - 1 6,7 0 1 2
2 0 2 4 - 0 7 - 1 7,6 8 8 9
2 0 2 4 - 0 7 - 1 8,6 8 4 5
2 0 2 4 - 0 7 - 1 9,6 8 4 8
2 0 2 4 - 0 7 - 2 2,6 7 8 5
2 0 2 4 - 0 7 - 2 3,6 9 3 1
2 0 2 4 - 0 7 - 2 4,6 7 3 3
2 0 2 4 - 0 7 - 2 5,6 6 2 5
2 0 2 4 - 0 7 - 2 6,6 7 2 5
2 0 2 4 - 0 7 - 2 9,6 7 1 2
2 0 2 4 - 0 7 - 3 0,6 7 4
2 0 2 4 - 0 7 - 3 1,6 8 7 3
2 0 2 4 - 0 8 - 0 1,6 6 9 4
