d a t a,c l o s e
2 0 2 4 - 0 2 - 2 7,2 4 8 3 6
2 0 2 4 - 0 2 - 2 8,2 4 6 9 8
2 0 2 4 - 0 3 - 0 1,2 5 1 0 8
2 0 2 4 - 0 3 - 0 4,2 5 0 1
2 0 2 4 - 0 3 - 0 5,2 5 0 0 5
2 0 2 4 - 0 3 - 0 6,2 5 2 3 9
2 0 2 4 - 0 3 - 0 7,2 5 5 9 8
2 0 2 4 - 0 3 - 0 8,2 5 5 7 6
2 0 2 4 - 0 3 - 1 1,2 5 6 2 9
2 0 2 4 - 0 3 - 1 2,2 5 6 7 1
2 0 2 4 - 0 3 - 1 4,2 5 9 7 4
2 0 2 4 - 0 3 - 1 5,2 6 1 6 4
2 0 2 4 - 0 3 - 1 8,2 6 1 9 4
2 0 2 4 - 0 3 - 1 9,2 6 1 5 4
2 0 2 4 - 0 3 - 2 0,2 6 5 7 1
2 0 2 4 - 0 3 - 2 1,2 6 6 5 5
2 0 2 4 - 0 3 - 2 2,2 6 4 4 1
2 0 2 4 - 0 3 - 2 5,2 6 5 9 1
2 0 2 4 - 0 3 - 2 6,2 6 5 0 1
2 0 2 4 - 0 3 - 2 7,2 6 8 6
2 0 2 4 - 0 3 - 2 8,2 7 0 8 1
2 0 2 4 - 0 4 - 0 1,2 7 1 9 6
2 0 2 4 - 0 4 - 0 2,2 7 4 2 4
2 0 2 4 - 0 4 - 0 3,2 7 6 5 7
2 0 2 4 - 0 4 - 0 4,2 7 6 4 1
2 0 2 4 - 0 4 - 0 5,2 7 7 8 1
2 0 2 4 - 0 4 - 0 8,2 7 9 5 9
2 0 2 4 - 0 4 - 0 9,2 8 1 4 8
2 0 2 4 - 0 4 - 1 0,2 7 8 1 1
2 0 2 4 - 0 4 - 1 1,2 7 8 9
2 0 2 4 - 0 4 - 1 2,2 7 4 7 3
2 0 2 4 - 0 4 - 1 5,2 7 3 3 5
2 0 2 4 - 0 4 - 1 6,2 6 9 8 4
2 0 2 4 - 0 4 - 1 7,2 7 0 5 6
2 0 2 4 - 0 4 - 1 8,2 7 0 5 7
2 0 2 4 - 0 4 - 1 9,2 7 2 3 9
2 0 2 4 - 0 4 - 2 2,2 7 2 6 2
2 0 2 4 - 0 4 - 2 3,2 7 2 2 6
2 0 2 4 - 0 4 - 2 5,2 7 1 0 6
2 0 2 4 - 0 4 - 2 9,2 7 7 6 6
2 0 2 4 - 0 4 - 3 0,2 7 0 4 5
2 0 2 4 - 0 5 - 0 1,2 6 8 8 4
2 0 2 4 - 0 5 - 0 2,2 7 0 6 7
2 0 2 4 - 0 5 - 0 6,2 7 6 2 2
2 0 2 4 - 0 5 - 0 7,2 7 7 2 1
2 0 2 4 - 0 5 - 0 8,2 7 6 1 2
2 0 2 4 - 0 5 - 0 9,2 7 6 2 2
2 0 2 4 - 0 5 - 1 3,2 7 9 3
2 0 2 4 - 0 5 - 1 4,2 8 0 9 8
2 0 2 4 - 0 5 - 1 6,2 8 0 1 3
2 0 2 4 - 0 5 - 2 0,2 8 3 1 7
2 0 2 4 - 0 5 - 2 1,2 8 2 9 7
2 0 2 4 - 0 5 - 2 2,2 7 8 2 3
2 0 2 4 - 0 5 - 2 3,2 7 6 0 8
2 0 2 4 - 0 5 - 2 4,2 7 7 5 1
2 0 2 4 - 0 5 - 2 9,2 7 5 0 8
2 0 2 4 - 0 5 - 3 1,2 7 9 4 8
2 0 2 4 - 0 6 - 0 3,2 7 5 7 3
2 0 2 4 - 0 6 - 0 5,2 6 9 7 8
2 0 2 4 - 0 6 - 0 6,2 7 1 9 6
2 0 2 4 - 0 6 - 0 7,2 6 7
2 0 2 4 - 0 6 - 1 0,2 6 8 4 9
2 0 2 4 - 0 6 - 1 1,2 6 5 2 5
2 0 2 4 - 0 6 - 1 2,2 6 5 4 1
2 0 2 4 - 0 6 - 1 3,2 6 2 1 3
2 0 2 4 - 0 6 - 1 4,2 5 9 4 7
2 0 2 4 - 0 6 - 1 7,2 5 9 7 9
2 0 2 4 - 0 6 - 1 8,2 6 1 0 6
2 0 2 4 - 0 6 - 2 1,2 6 3 2
2 0 2 4 - 0 6 - 2 4,2 6 7 4
2 0 2 4 - 0 6 - 2 5,2 6 6 7
2 0 2 4 - 0 6 - 2 6,2 6 5 5 8
2 0 2 4 - 0 6 - 2 7,2 6 6 6
2 0 2 4 - 0 6 - 2 8,2 6 6 5
2 0 2 4 - 0 7 - 0 1,2 6 6 8
2 0 2 4 - 0 7 - 0 2,2 6 6 6
2 0 2 4 - 0 7 - 0 3,2 7 1 2
2 0 2 4 - 0 7 - 0 5,2 7 0 9
2 0 2 4 - 0 7 - 1 9,2 7 0 3 2
2 0 2 4 - 0 7 - 2 2,2 7 1 1
2 0 2 4 - 0 7 - 2 3,2 6 7
2 0 2 4 - 0 7 - 2 4,2 6 6 3
2 0 2 4 - 0 7 - 2 6,2 6 9 4 3
2 0 2 4 - 0 7 - 2 9,2 6 7 8
2 0 2 4 - 0 7 - 3 0,2 6 8 0 8
