d a t a,c l o s e
2 0 2 4 - 0 5 - 1 7,2 5 0 3 1
2 0 2 4 - 0 5 - 2 1,2 5 0 7 9
2 0 2 4 - 0 5 - 2 9,2 5 0 6
2 0 2 4 - 0 6 - 0 3,2 5 0 3
2 0 2 4 - 0 6 - 0 4,2 5 0
2 0 2 4 - 0 6 - 0 7,2 5 2 1
2 0 2 4 - 0 6 - 1 0,2 5 1 9 9
2 0 2 4 - 0 6 - 1 1,2 5 2 2 6
2 0 2 4 - 0 6 - 1 3,2 5 3 4 4
2 0 2 4 - 0 6 - 1 7,2 5 4 1 6
2 0 2 4 - 0 6 - 1 8,2 5 4 7
2 0 2 4 - 0 6 - 2 1,2 5 4 2 2
2 0 2 4 - 0 6 - 2 6,2 5 4 6 8
2 0 2 4 - 0 7 - 0 5,2 5 6 3 3
2 0 2 4 - 0 7 - 1 2,2 5 7
2 0 2 4 - 0 7 - 1 5,2 5 7 3 9
2 0 2 4 - 0 7 - 2 9,2 5 5 3 1
2 0 2 4 - 0 7 - 3 1,2 5 6 8 5
