d a t a,c l o s e
2 0 2 4 - 0 5 - 2 2,2 4 9 9 1
2 0 2 4 - 0 5 - 2 8,2 5 0 1
2 0 2 4 - 0 5 - 2 9,2 4 9 6
2 0 2 4 - 0 5 - 3 0,2 4 9 1 4
2 0 2 4 - 0 6 - 0 3,2 4 9 9
2 0 2 4 - 0 6 - 0 4,2 5 0 1 7
2 0 2 4 - 0 6 - 0 5,2 5 0 9
2 0 2 4 - 0 6 - 0 7,2 5 1 1 1
2 0 2 4 - 0 6 - 1 0,2 5 1 2 8
2 0 2 4 - 0 6 - 1 1,2 5 1 2 8
2 0 2 4 - 0 6 - 1 3,2 5 2 7
2 0 2 4 - 0 6 - 1 4,2 5 2 7
2 0 2 4 - 0 6 - 1 8,2 5 3 5
2 0 2 4 - 0 6 - 2 0,2 5 3 1 4
2 0 2 4 - 0 6 - 2 1,2 5 3 2
2 0 2 4 - 0 6 - 2 8,2 5 3 5 3
2 0 2 4 - 0 7 - 0 5,2 5 5 0 9
2 0 2 4 - 0 7 - 2 3,2 5 5 2
2 0 2 4 - 0 7 - 2 4,2 5 3 4
2 0 2 4 - 0 7 - 2 5,2 5 3 2 8
