d a t a,c l o s e
2 0 2 4 - 0 7 - 0 9,4 4 6 2 2
2 0 2 4 - 0 7 - 1 0,4 4 6 7 2
2 0 2 4 - 0 7 - 1 1,4 4 8 9 1
2 0 2 4 - 0 7 - 1 2,4 4 9 3 1
2 0 2 4 - 0 7 - 1 5,4 4 9 8 1
2 0 2 4 - 0 7 - 1 6,4 5 0 6
2 0 2 4 - 0 7 - 1 7,4 5 1 3
2 0 2 4 - 0 7 - 1 8,4 5 0 5
2 0 2 4 - 0 7 - 1 9,4 5 0 1
2 0 2 4 - 0 7 - 2 2,4 5 1 2
2 0 2 4 - 0 7 - 2 3,4 5 1 5
2 0 2 4 - 0 7 - 2 4,4 5 0 2
2 0 2 4 - 0 7 - 2 5,4 5 0 5
2 0 2 4 - 0 7 - 2 6,4 5 1 5
2 0 2 4 - 0 7 - 2 9,4 5 0 9
2 0 2 4 - 0 7 - 3 0,4 5 0 6
2 0 2 4 - 0 7 - 3 1,4 5 2 2 8
2 0 2 4 - 0 8 - 0 1,4 5 1 8
