d a t a,c l o s e
2 0 2 4 - 0 7 - 0 9,4 7 6 2 6
2 0 2 4 - 0 7 - 1 0,4 7 6 7 6
2 0 2 4 - 0 7 - 1 1,4 7 8 0 5
2 0 2 4 - 0 7 - 1 2,4 7 8 8 5
2 0 2 4 - 0 7 - 1 5,4 7 8 7 5
2 0 2 4 - 0 7 - 1 6,4 7 8 7 5
2 0 2 4 - 0 7 - 1 7,4 7 9 1 4
2 0 2 4 - 0 7 - 1 8,4 7 8 9 5
2 0 2 4 - 0 7 - 1 9,4 7 8 5 5
2 0 2 4 - 0 7 - 2 2,4 7 8 1 5
2 0 2 4 - 0 7 - 2 3,4 7 8 8 5
2 0 2 4 - 0 7 - 2 4,4 7 8 7 8
2 0 2 4 - 0 7 - 2 5,4 7 9
2 0 2 4 - 0 7 - 2 6,4 7 9 8
2 0 2 4 - 0 7 - 2 9,4 7 9 8
2 0 2 4 - 0 7 - 3 0,4 8 0 3
2 0 2 4 - 0 7 - 3 1,4 8 0 4
2 0 2 4 - 0 8 - 0 1,4 8 2 3
