d a t a,c l o s e
2 0 2 4 - 0 6 - 1 4,2 5 1 9
2 0 2 4 - 0 6 - 1 7,2 5 2 9
2 0 2 4 - 0 6 - 1 8,2 5 4 5
2 0 2 4 - 0 6 - 2 0,2 5 2 3
2 0 2 4 - 0 6 - 2 1,2 5 1 9
2 0 2 4 - 0 6 - 2 4,2 5 0 3 8
2 0 2 4 - 0 6 - 2 5,2 5 2 1
2 0 2 4 - 0 6 - 2 6,2 5 3 5 8
2 0 2 4 - 0 6 - 2 7,2 5 3 8 2
2 0 2 4 - 0 6 - 2 8,2 5 2 9 1
2 0 2 4 - 0 7 - 0 1,2 5 3 9
2 0 2 4 - 0 7 - 0 2,2 5 6 4
2 0 2 4 - 0 7 - 0 3,2 5 8 0 5
2 0 2 4 - 0 7 - 0 5,2 5 9 0 9
2 0 2 4 - 0 7 - 0 8,2 6 0 3
2 0 2 4 - 0 7 - 0 9,2 6 1 6
2 0 2 4 - 0 7 - 1 0,2 6 2 6
2 0 2 4 - 0 7 - 1 1,2 5 8 8
2 0 2 4 - 0 7 - 1 2,2 5 9 8 6
2 0 2 4 - 0 7 - 1 5,2 6 0 9 7
2 0 2 4 - 0 7 - 1 6,2 5 9 4
2 0 2 4 - 0 7 - 1 7,2 5 6 1 4
2 0 2 4 - 0 7 - 1 8,2 5 4
2 0 2 4 - 0 7 - 1 9,2 5 2 6 5
2 0 2 4 - 0 7 - 2 2,2 5 5 1
2 0 2 4 - 0 7 - 2 3,2 5 6
2 0 2 4 - 0 7 - 2 4,2 4 8 5
2 0 2 4 - 0 7 - 2 5,2 4 6 7 1
2 0 2 4 - 0 7 - 2 6,2 4 8 2
2 0 2 4 - 0 7 - 2 9,2 4 9 3 7
2 0 2 4 - 0 7 - 3 0,2 4 6 4 9
2 0 2 4 - 0 7 - 3 1,2 5 2 7
2 0 2 4 - 0 8 - 0 1,2 4 5 9
