d a t a,c l o s e
2 0 2 4 - 0 6 - 2 4,3 0 3
2 0 2 4 - 0 6 - 2 5,3 0 1 5
2 0 2 4 - 0 6 - 2 6,3 0 0 3 3
2 0 2 4 - 0 6 - 2 7,3 0 0 8 9
2 0 2 4 - 0 6 - 2 8,3 0 1 1
2 0 2 4 - 0 7 - 0 1,2 9 9 5
2 0 2 4 - 0 7 - 0 2,2 9 9 8
2 0 2 4 - 0 7 - 0 3,3 0 0 3
2 0 2 4 - 0 7 - 0 5,3 0 0
2 0 2 4 - 0 7 - 0 8,3 0 0 6
2 0 2 4 - 0 7 - 0 9,3 0 0 4 5
2 0 2 4 - 0 7 - 1 0,3 0 0 9
2 0 2 4 - 0 7 - 1 1,3 0 5
2 0 2 4 - 0 7 - 1 2,3 0 6 1 7
2 0 2 4 - 0 7 - 1 5,3 0 7 2
2 0 2 4 - 0 7 - 1 6,3 0 9 7 2
2 0 2 4 - 0 7 - 1 7,3 0 9 4 8
2 0 2 4 - 0 7 - 1 8,3 0 7 6 9
2 0 2 4 - 0 7 - 1 9,3 0 6 4
2 0 2 4 - 0 7 - 2 2,3 0 5 7
2 0 2 4 - 0 7 - 2 3,3 0 7
2 0 2 4 - 0 7 - 2 4,3 0 4 6 9
2 0 2 4 - 0 7 - 2 5,3 0 5 2
2 0 2 4 - 0 7 - 2 6,3 0 7 1
2 0 2 4 - 0 7 - 2 9,3 0 7 9
2 0 2 4 - 0 7 - 3 0,3 0 8 3
2 0 2 4 - 0 7 - 3 1,3 1 0 7 5
2 0 2 4 - 0 8 - 0 1,3 0 7 4 5
