d a t a,c l o s e
2 0 2 4 - 0 5 - 2 9,2 0 0 1
2 0 2 4 - 0 5 - 3 0,2 0 0 4
2 0 2 4 - 0 5 - 3 1,1 9 8 8
2 0 2 4 - 0 6 - 0 3,1 9 8 3
2 0 2 4 - 0 6 - 0 4,1 9 8 6
2 0 2 4 - 0 6 - 0 5,1 9 9 9
2 0 2 4 - 0 6 - 0 6,2 0 0 1
2 0 2 4 - 0 6 - 0 7,2 0 3 2
2 0 2 4 - 0 6 - 1 0,2 0 3 9
2 0 2 4 - 0 6 - 1 1,2 0 4 8
2 0 2 4 - 0 6 - 1 2,2 0 4 6
2 0 2 4 - 0 6 - 1 3,2 0 6 2
2 0 2 4 - 0 6 - 1 4,2 0 7 3
2 0 2 4 - 0 6 - 1 7,2 0 8 4 5
2 0 2 4 - 0 6 - 1 8,2 0 9 2
2 0 2 4 - 0 6 - 2 0,2 0 9 4
2 0 2 4 - 0 6 - 2 1,2 1 0 2
2 0 2 4 - 0 6 - 2 4,2 0 8 6
2 0 2 4 - 0 6 - 2 5,2 0 8 8
2 0 2 4 - 0 6 - 2 6,2 1 0 4
2 0 2 4 - 0 6 - 2 7,2 1 0 9
2 0 2 4 - 0 6 - 2 8,2 1 1 0 3
2 0 2 4 - 0 7 - 0 1,2 1 1 3 5
2 0 2 4 - 0 7 - 0 2,2 1 3 3
2 0 2 4 - 0 7 - 0 3,2 1 0 8
2 0 2 4 - 0 7 - 0 5,2 1 1 1
2 0 2 4 - 0 7 - 0 8,2 1 1 1 5
2 0 2 4 - 0 7 - 0 9,2 1 1 5
2 0 2 4 - 0 7 - 1 0,2 1 0 2 1
2 0 2 4 - 0 7 - 1 1,2 0 8
2 0 2 4 - 0 7 - 1 2,2 0 7 5
2 0 2 4 - 0 7 - 1 5,2 0 9 5 5
2 0 2 4 - 0 7 - 1 6,2 0 8 8
2 0 2 4 - 0 7 - 1 7,2 0 7 7
2 0 2 4 - 0 7 - 1 8,2 0 8 1
2 0 2 4 - 0 7 - 1 9,2 0 6 8
2 0 2 4 - 0 7 - 2 2,2 0 6 4
2 0 2 4 - 0 7 - 2 3,2 0 6 8
2 0 2 4 - 0 7 - 2 4,2 0 3 9
2 0 2 4 - 0 7 - 2 5,2 0 4 3
2 0 2 4 - 0 7 - 2 6,2 0 4
2 0 2 4 - 0 7 - 2 9,2 0 4 7
2 0 2 4 - 0 7 - 3 0,2 0 2 3
2 0 2 4 - 0 7 - 3 1,2 0 3
2 0 2 4 - 0 8 - 0 1,2 0 4 6
