d a t a,c l o s e
2 0 2 4 - 0 5 - 1 5,2 5 1 2 8
2 0 2 4 - 0 5 - 2 0,2 5 1 4
2 0 2 4 - 0 5 - 2 3,2 5 0 9
2 0 2 4 - 0 5 - 3 1,2 5 1 4 4
2 0 2 4 - 0 6 - 0 6,2 5 2 7
2 0 2 4 - 0 6 - 1 0,2 5 2 9 6
2 0 2 4 - 0 6 - 1 1,2 5 3 2
2 0 2 4 - 0 6 - 1 2,2 5 4 0 5
2 0 2 4 - 0 6 - 1 4,2 5 4 1 2
2 0 2 4 - 0 6 - 1 7,2 5 4 6 5
2 0 2 4 - 0 6 - 1 8,2 5 5 1
2 0 2 4 - 0 6 - 2 4,2 5 4 7 5
2 0 2 4 - 0 6 - 2 6,2 5 5 1 9
2 0 2 4 - 0 6 - 2 7,2 5 5
2 0 2 4 - 0 7 - 0 5,2 5 6 4 5
2 0 2 4 - 0 7 - 1 2,2 5 6 8
2 0 2 4 - 0 7 - 2 9,2 5 6 0 6
