d a t a,c l o s e
2 0 2 4 - 0 5 - 3 0,6 0 7 7 5
2 0 2 4 - 0 5 - 3 1,6 0 4 3
2 0 2 4 - 0 6 - 0 3,6 0 9 6 4
2 0 2 4 - 0 6 - 0 4,6 1 1 8 4
2 0 2 4 - 0 6 - 0 5,6 1 6 5 6
2 0 2 4 - 0 6 - 0 6,6 2 0 9 6
2 0 2 4 - 0 6 - 0 7,6 2 0 5 1
2 0 2 4 - 0 6 - 1 0,6 2 0 2 1
2 0 2 4 - 0 6 - 1 1,6 2 1 2 1
2 0 2 4 - 0 6 - 1 2,6 3 0 3 3
2 0 2 4 - 0 6 - 1 3,6 2 9 4 3
2 0 2 4 - 0 6 - 1 4,6 2 8 6 8
2 0 2 4 - 0 6 - 1 7,6 3 1 3 7
2 0 2 4 - 0 6 - 1 8,6 3 7 3 5
2 0 2 4 - 0 6 - 2 0,6 3 5 4 6
2 0 2 4 - 0 6 - 2 1,6 3 5 1 6
2 0 2 4 - 0 6 - 2 4,6 3 4 5
2 0 2 4 - 0 6 - 2 5,6 3 4 3
2 0 2 4 - 0 6 - 2 6,6 3 4 9
2 0 2 4 - 0 6 - 2 7,6 3 7 2
2 0 2 4 - 0 6 - 2 8,6 3 5 8
2 0 2 4 - 0 7 - 0 1,6 3 5 1 6
2 0 2 4 - 0 7 - 0 2,6 3 6 9
2 0 2 4 - 0 7 - 0 3,6 4 2 6 6
2 0 2 4 - 0 7 - 0 5,6 4 4 8
2 0 2 4 - 0 7 - 0 8,6 4 8 4
2 0 2 4 - 0 7 - 0 9,6 5 0
2 0 2 4 - 0 7 - 1 0,6 5 1 6
2 0 2 4 - 0 7 - 1 1,6 5 0 7
2 0 2 4 - 0 7 - 1 2,6 5 1 8
2 0 2 4 - 0 7 - 1 5,6 5 5 2
2 0 2 4 - 0 7 - 1 6,6 5 7 5 6
2 0 2 4 - 0 7 - 1 7,6 5 1 0 5
2 0 2 4 - 0 7 - 1 8,6 4 3 4 8
2 0 2 4 - 0 7 - 1 9,6 4 1 2
2 0 2 4 - 0 7 - 2 2,6 4 4 7 3
2 0 2 4 - 0 7 - 2 3,6 4 6 9 5
2 0 2 4 - 0 7 - 2 4,6 3 2 5
2 0 2 4 - 0 7 - 2 5,6 2 8 6
2 0 2 4 - 0 7 - 2 6,6 3 4 6
2 0 2 4 - 0 7 - 2 9,6 3 5 8 3
2 0 2 4 - 0 7 - 3 0,6 3 0 2
2 0 2 4 - 0 7 - 3 1,6 4 1 9
2 0 2 4 - 0 8 - 0 1,6 3 0 5
