d a t a,c l o s e
2 0 2 4 - 0 6 - 2 5,0 1 3
2 0 2 4 - 0 6 - 2 6,0 1 3 1
2 0 2 4 - 0 6 - 2 7,0 1 5 2
2 0 2 4 - 0 6 - 2 8,0 1 6 1
2 0 2 4 - 0 7 - 0 1,0 1 6 2
2 0 2 4 - 0 7 - 0 2,0 2 0 7
2 0 2 4 - 0 7 - 0 3,0 2 2 5
2 0 2 4 - 0 7 - 0 5,0 2 2 5
2 0 2 4 - 0 7 - 0 8,0 2 0 5
2 0 2 4 - 0 7 - 0 9,0 2 0 5
2 0 2 4 - 0 7 - 1 0,0 1 7
2 0 2 4 - 0 7 - 1 1,0 1 5 3
2 0 2 4 - 0 7 - 1 2,0 2
2 0 2 4 - 0 7 - 1 5,0 1 5 2
2 0 2 4 - 0 7 - 1 6,0 1 5 5
2 0 2 4 - 0 7 - 1 7,0 1 5
2 0 2 4 - 0 7 - 1 8,0 1 5 9
2 0 2 4 - 0 7 - 1 9,0 1 9 6
2 0 2 4 - 0 7 - 2 2,0 1 7
2 0 2 4 - 0 7 - 2 3,0 1 5 3
2 0 2 4 - 0 7 - 2 4,0 1 5
2 0 2 4 - 0 7 - 2 5,0 1 3 1
2 0 2 4 - 0 7 - 2 6,0 0 8 5
2 0 2 4 - 0 7 - 2 9,0 0 9
2 0 2 4 - 0 7 - 3 0,0 0 9
2 0 2 4 - 0 7 - 3 1,0 0 9
2 0 2 4 - 0 8 - 0 1,0 1
